task_type,sparsity,logical_write_gb,physical_write_gb_dense,physical_write_gb_csr_kv,write_amplification_dense,write_amplification_csr_kv,wa_reduction_pct
sentiment_classification,0.7,1.052,2.504,1.347,2.38,1.28,46.22
sentiment_classification,0.78,0.976,2.596,1.279,2.66,1.31,50.75
sentiment_classification,0.84,0.92,2.769,1.242,3.01,1.35,55.15
sentiment_classification,0.9,0.864,3.093,1.236,3.58,1.43,60.06
sentiment_classification,0.94,0.826,3.477,1.28,4.21,1.55,63.18
summarization,0.7,1.384,3.294,1.772,2.38,1.28,46.22
summarization,0.78,1.285,3.418,1.683,2.66,1.31,50.75
summarization,0.84,1.211,3.645,1.635,3.01,1.35,55.15
summarization,0.9,1.136,4.067,1.624,3.58,1.43,60.06
summarization,0.94,1.087,4.576,1.685,4.21,1.55,63.18
scientific_qa,0.7,1.716,4.084,2.196,2.38,1.28,46.22
scientific_qa,0.78,1.593,4.237,2.087,2.66,1.31,50.75
scientific_qa,0.84,1.501,4.518,2.026,3.01,1.35,55.15
scientific_qa,0.9,1.409,5.044,2.015,3.58,1.43,60.06
scientific_qa,0.94,1.348,5.675,2.089,4.21,1.55,63.18
multi_hop_reasoning,0.7,1.84,4.379,2.355,2.38,1.28,46.22
multi_hop_reasoning,0.78,1.709,4.546,2.239,2.66,1.31,50.75
multi_hop_reasoning,0.84,1.61,4.846,2.174,3.01,1.35,55.15
multi_hop_reasoning,0.9,1.511,5.409,2.161,3.58,1.43,60.06
multi_hop_reasoning,0.94,1.445,6.083,2.24,4.21,1.55,63.18
code_generation,0.7,1.633,3.887,2.09,2.38,1.28,46.22
code_generation,0.78,1.516,4.033,1.986,2.66,1.31,50.75
code_generation,0.84,1.428,4.298,1.928,3.01,1.35,55.15
code_generation,0.9,1.341,4.801,1.918,3.58,1.43,60.06
code_generation,0.94,1.282,5.397,1.987,4.21,1.55,63.18
